Date,Close,Return
2015-01-05,8378.400391,-0.20329035106627424
2015-01-06,8127.350098,-3.0422082920491977
2015-01-07,8102.100098,-0.3111629792519633
2015-01-08,8234.599609,1.6221442372579782
2015-01-09,8284.5,0.6041557223227388
2015-01-12,8323.0,0.4636467736743234
2015-01-13,8299.400391,-0.28394966191811966
2015-01-14,8277.549805,-0.2636262810294904
2015-01-15,8494.150391,2.5830729956719463
2015-01-16,8513.799805,0.23106162136912173
2015-01-19,8550.700195,0.43248202426798094
2015-01-20,8695.599609,1.6803931888043577
2015-01-21,8729.5,0.3890988807075846
2015-01-22,8761.400391,0.3647659715343807
2015-01-23,8835.599609,0.8433216769702465
2015-01-27,8910.5,0.8441385703278952
2015-01-28,8914.299805,0.04263503769051492
2015-01-29,8952.349609,0.42593169701348454
2015-01-30,8808.900391,-1.6153405554243956
2015-02-02,8797.400391,-0.1306350695451371
2015-02-03,8756.549805,-0.46542982391589466
2015-02-04,8723.700195,-0.3758487283657714
2015-02-05,8711.700195,-0.13765100458102703
2015-02-06,8661.049805,-0.5831032336655411
2015-02-09,8526.349609,-1.5674617277347733
2015-02-10,8565.549805,0.45869992308416985
2015-02-11,8627.400391,0.7194908623761045
2015-02-12,8711.549805,0.9706478619629774
2015-02-13,8805.5,1.0726817233038608
2015-02-16,8809.349609,0.043708679287521056
2015-02-18,8869.099609,0.675966842754926
2015-02-19,8895.299805,0.29497439667620107
2015-02-20,8833.599609,-0.696043715536181
2015-02-23,8754.950195,-0.8943311312479496
2015-02-24,8762.099609,0.08162806496500964
2015-02-25,8767.25,0.058763060388298205
2015-02-26,8683.849609,-0.9558254531146424
2015-02-27,8844.599609,1.8342125396649742
2015-03-02,8956.75,1.2600378881191967
2015-03-03,8996.25,0.44003858673006596
2015-03-04,8922.650391,-0.8214792346174485
2015-03-05,8937.75,0.1690848163185672
2015-03-09,8756.75,-2.045904811401918
2015-03-10,8712.049805,-0.5117729101186039
2015-03-11,8699.950195,-0.13898015101749014
2015-03-12,8776.0,0.8703422041421154
2015-03-13,8647.75,-1.4721551472009753
2015-03-16,8633.150391,-0.16896819197135113
2015-03-17,8723.299805,1.0388094762234585
2015-03-18,8685.900391,-0.4296518060784002
2015-03-19,8634.650391,-0.5917842938511015
2015-03-20,8570.900391,-0.7410433126012946
2015-03-23,8550.900391,-0.2336203925166551
2015-03-24,8542.950195,-0.09301820597104829
2015-03-25,8530.799805,-0.14232833503034312
2015-03-26,8342.150391,-2.236209710000153
2015-03-27,8341.400391,-0.008990891810800202
2015-03-30,8492.299805,1.7928732757126797
2015-03-31,8491.0,-0.015306860474256542
2015-04-01,8586.25,1.1155307528727894
2015-04-06,8659.900391,0.8541133768243201
2015-04-07,8660.299805,0.004612117591627168
2015-04-08,8714.400391,0.6227533164247787
2015-04-09,8778.299805,0.7305870163779834
2015-04-10,8780.349609,0.02334808288475391
2015-04-13,8834.0,0.6091687527345693
2015-04-16,8706.700195,-1.4515046561077511
2015-04-17,8606.0,-1.16332321968493
2015-04-20,8448.099609,-1.8518116683945385
2015-04-21,8377.75,-0.836213571013573
2015-04-22,8429.700195,0.6181825302081604
2015-04-23,8398.299805,-0.37319261282948235
2015-04-24,8305.25,-1.1141436235938773
