Date,Close
2015-01-31,61.79600143432617
2015-02-28,61.75400161743164
2015-03-31,62.50899887084961
2015-04-30,63.44200134277344
2015-05-31,63.82500076293945
2015-06-30,63.7239990234375
2015-07-31,64.11799621582031
2015-08-31,66.14299774169922
2015-09-30,65.91999816894531
2015-10-31,65.44400024414062
2015-11-30,66.9000015258789
2015-12-31,66.45500183105469
2016-01-31,68.09300231933594
2016-02-29,68.7300033569336
2016-03-31,66.36799621582031
2016-04-30,66.43800354003906
2016-05-31,67.13300323486328
2016-06-30,67.41600036621094
2016-07-31,67.00700378417969
2016-08-31,67.12660217285156
2016-09-30,66.81629943847656
2016-10-31,66.78140258789062
2016-11-30,68.60800170898438
2016-12-31,67.93299865722656
2017-01-31,67.82099914550781
2017-02-28,66.69319915771484
2017-03-31,64.79000091552734
2017-04-30,64.05999755859375
2017-05-31,64.61859893798828
2017-06-30,64.78510284423828
2017-07-31,64.12349700927734
2017-08-31,63.976200103759766
2017-09-30,65.36000061035156
2017-10-31,64.84239959716797
2017-11-30,64.41480255126953
2017-12-31,64.06199645996094
2018-01-31,63.769901275634766
2018-02-28,64.91000366210938
2018-03-31,65.02999877929688
2018-04-30,66.61000061035156
2018-05-31,67.43000030517578
2018-06-30,68.79669952392578
2018-07-31,68.68499755859375
2018-08-31,71.40499877929688
2018-09-30,72.94999694824219
2018-10-31,73.6500015258789
2018-11-30,69.91999816894531
2018-12-31,69.92250061035156
2019-01-31,71.12000274658203
2019-02-28,71.19000244140625
2019-03-31,69.5
2019-04-30,69.81179809570312
2019-05-31,69.9800033569336
2019-06-30,69.32499694824219
2019-07-31,69.07749938964844
2019-08-31,71.6801986694336
2019-09-30,70.49870300292969
2019-10-31,70.98999786376953
2019-11-30,71.54740142822266
2019-12-31,71.31099700927734
2020-01-31,71.63999938964844
2020-02-29,71.93000030517578
2020-03-31,75.4000015258789
2020-04-30,75.25849914550781
2020-05-31,75.95999908447266
2020-06-30,75.69999694824219
2020-07-31,74.98999786376953
2020-08-31,73.12830352783203
2020-09-30,73.84500122070312
2020-10-31,74.26399993896484
2020-11-30,73.94090270996094
2020-12-31,73.13400268554688
2021-01-31,72.93879699707031
2021-02-28,73.1509017944336
2021-03-31,73.44529724121094
2021-04-30,74.10579681396484
2021-05-31,72.39350128173828
2021-06-30,74.28759765625
2021-07-31,74.25199890136719
2021-08-31,73.41120147705078
2021-09-30,74.3219985961914
2021-10-31,74.79720306396484
2021-11-30,75.05490112304688
2021-12-31,74.43119812011719
2022-01-31,75.03900146484375
2022-02-28,75.06800079345703
2022-03-31,75.82779693603516
2022-04-30,76.58899688720703
2022-05-31,77.5208969116211
2022-06-30,78.89830017089844
2022-07-31,79.57150268554688
2022-08-31,79.68229675292969
2022-09-30,81.48059844970703
2022-10-31,82.23919677734375
2022-11-30,81.63089752197266
2022-12-31,82.83509826660156
2023-01-31,81.57990264892578
2023-02-28,82.6520004272461
2023-03-31,82.10050201416016
2023-04-30,81.76509857177734
2023-05-31,82.68389892578125
2023-06-30,82.07540130615234
2023-07-31,82.25279998779297
2023-08-31,82.70040130615234
2023-09-30,83.19300079345703
2023-10-31,83.29650115966797
2023-11-30,83.3302993774414
2023-12-31,82.302001953125
2024-01-31,83.10970306396484
2024-02-29,82.91190338134766
2024-03-31,83.39299774169922
2024-04-30,83.45110321044922
2024-05-31,83.3208999633789
2024-06-30,83.45089721679688
2024-07-31,83.73899841308594
2024-08-31,83.89510345458984
2024-09-30,83.71640014648438
2024-10-31,84.08910369873047
2024-11-30,84.47160339355469
2024-12-31,85.7865982055664
2025-01-31,86.64700317382812
2025-02-28,87.3270034790039
2025-03-31,85.53880310058594
2025-04-30,85.1707992553711
2025-05-31,85.36129760742188
2025-06-30,85.4552993774414
2025-07-31,87.714599609375
2025-08-31,87.5916976928711
2025-09-30,88.70449829101562
2025-10-31,88.6344985961914
2025-11-30,89.36479949951172
2025-12-31,89.76940155029297
