Date,Close
2015-01-31,8808.900391
2015-02-28,8844.599609
2015-03-31,8491.0
2015-04-30,8181.5
2015-05-31,8433.650391
2015-06-30,8368.5
2015-07-31,8532.849609
2015-08-31,7971.299805
2015-09-30,7948.899902
2015-10-31,8065.799805
2015-11-30,7935.25
2015-12-31,7946.350098
2016-01-31,7563.549805
2016-02-29,6987.049805
2016-03-31,7738.399902
2016-04-30,7849.799805
2016-05-31,8160.100098
2016-06-30,8287.75
2016-07-31,8638.5
2016-08-31,8786.200195
2016-09-30,8611.150391
2016-10-31,8638.0
2016-11-30,8224.5
2016-12-31,8185.799805
2017-01-31,8561.299805
2017-02-28,8879.599609
2017-03-31,9173.75
2017-04-30,9304.049805
2017-05-31,9621.25
2017-06-30,9520.900391
2017-07-31,10077.09961
2017-08-31,9917.900391
2017-09-30,9788.599609
2017-10-31,10335.2998
2017-11-30,10226.5498
2017-12-31,10530.7002
2018-01-31,11027.7002
2018-02-28,10492.84961
2018-03-31,10113.7002
2018-04-30,10739.34961
2018-05-31,10736.15039
2018-06-30,10714.2998
2018-07-31,11356.5
2018-08-31,11680.5
2018-09-30,10930.4502
2018-10-31,10386.59961
2018-11-30,10876.75
2018-12-31,10862.5498
2019-01-31,10830.9502
2019-02-28,10792.5
2019-03-31,11570.0
2019-04-30,11748.15039
2019-05-31,11922.7998
2019-06-30,11788.84961
2019-07-31,11118.0
2019-08-31,11023.25
2019-09-30,11474.4502
2019-10-31,11877.4502
2019-11-30,12056.0498
2019-12-31,12168.4502
2020-01-31,11962.09961
2020-02-29,11201.75
2020-03-31,8597.75
2020-04-30,9859.900391
2020-05-31,9580.299805
2020-06-30,10302.09961
2020-07-31,11073.4502
2020-08-31,11387.5
2020-09-30,11247.5498
2020-10-31,11642.40039
2020-11-30,12968.9502
2020-12-31,13981.75
2021-01-31,13634.59961
2021-02-28,14529.15039
2021-03-31,14690.7002
2021-04-30,14631.09961
2021-05-31,15582.7998
2021-06-30,15721.5
2021-07-31,15763.0498
2021-08-31,17132.19922
2021-09-30,17618.15039
2021-10-31,17671.65039
2021-11-30,16983.19922
2021-12-31,17354.05078
2022-01-31,17339.84961
2022-02-28,16793.90039
2022-03-31,17464.75
2022-04-30,17102.55078
2022-05-31,16584.55078
2022-06-30,15780.25
2022-07-31,17158.25
2022-08-31,17759.30078
2022-09-30,17094.34961
2022-10-31,18012.19922
2022-11-30,18758.34961
2022-12-31,18105.30078
2023-01-31,17662.15039
2023-02-28,17303.94922
2023-03-31,17359.75
2023-04-30,18065.0
2023-05-31,18534.40039
2023-06-30,19189.05078
2023-07-31,19753.80078
2023-08-31,19253.80078
2023-09-30,19638.30078
2023-10-31,19079.59961
2023-11-30,20133.15039
2023-12-31,21731.40039
2024-01-31,21725.69922
2024-02-29,21982.80078
2024-03-31,22326.90039
2024-04-30,22604.84961
2024-05-31,22530.69922
2024-06-30,24010.59961
2024-07-31,24951.15039
2024-08-31,25235.90039
2024-09-30,25810.84961
2024-10-31,24205.34961
2024-11-30,24131.09961
2024-12-31,23644.80078
2025-01-31,23508.40039
2025-02-28,22124.69922
2025-03-31,23519.34961
2025-04-30,24334.19922
2025-05-31,24750.69922
2025-06-30,25517.05078
2025-07-31,24768.34961
2025-08-31,24426.84961
2025-09-30,24611.09961
2025-10-31,25722.09961
2025-11-30,26202.94922
2025-12-31,26129.59961
