Forecast_Day,Forecasted_Volatility
1,0.6093201067143247
2,0.6242678163092366
3,0.6322649868905952
4,0.6422494849982902
5,0.6526361303516955
6,0.6648707473481204
7,0.674614842811898
8,0.686593267964329
9,0.6968478965808073
10,0.7065282705843507
11,0.7165741384414134
12,0.7249871612596577
13,0.732970797535425
14,0.7440413330397595
15,0.751527683939084
16,0.7618816577557355
17,0.7700276160641127
18,0.7762774261897607
19,0.78303969818787
20,0.7920621508570264
21,0.7974792206370594
22,0.8081536246348716
23,0.8151752132807721
24,0.8265968582444854
25,0.8307261540515556
26,0.8373771172368507
27,0.8409329377972915
28,0.8456394322356524
29,0.8494125280017198
30,0.8494915375605555
