Model,MSE,RMSE,MAE,QLIKE
"EGARCH(1,1)",4.2293251013,2.0565323001,0.9849068749,1.8535865691
20-Day Rolling Variance,4.3231799707,2.0792258104,0.7961868724,1.7922091247
