Actual_Variance,Forecasted_Variance
0.17553255637227674,0.537304325753499
1.8063961901940857,0.5515377678484176
0.6908407932429148,0.5607018346233404
1.9460010234637468,0.5713429283159078
1.0050621629622105,0.5957192357429044
0.2405601382879734,0.6044079537453662
0.10289635933717255,0.6143155355067754
0.2258052546799165,0.6258487141366783
0.5715171435466586,0.6393957097221448
0.2575644547753658,0.6528232003767548
0.8790586465657864,0.659428155016667
0.0006771744089464915,0.6681198045832067
0.03589118506748622,0.6810323445335893
0.06160398890917449,0.68784444411962
0.023965676013625682,0.6962440248214115
0.008771101925891433,0.7061805767925791
1.4056925122214023,0.7130872305849985
0.20712966941845898,0.7250189199405908
0.028601205752035733,0.7352299021861509
0.03677060149115336,0.7474102132209911
0.20513662692185614,0.7572520098245876
0.020649744831178662,0.7596871340699162
0.002472885350141477,0.7704957410537544
0.0013598172786510505,0.7871910860992483
0.22922884086738374,0.7936147103909161
1.070946922268164,0.8007635927377483
0.03301861569119994,0.8030814207567667
0.44497482247168885,0.8090100201117243
4.185085065334036,0.8232420679450922
0.6565294574318865,0.8283956047910822
0.15624790497792942,0.851267985076176
0.030524439674236598,0.8613580314575822
0.1062793095789184,0.8625046846354709
0.01742567843576452,0.8675556217580019
0.18739925244757571,0.8816159300109783
0.009096599334839231,0.8926980187122734
1.4824674983485266,0.9005055747286719
1.6511902623568835,0.9004775909558702
0.031420497160620064,0.9084807475979836
0.025827153358159712,0.899230144591366
2.0226877670315124,0.9055061725876608
0.24478100473685235,0.9135265010564491
0.1961695878731985,0.9130999574553376
0.1846960596503734,0.9154405001753588
0.9808025254975647,0.9199859584205697
0.32576266262420744,0.9219613627072893
0.047269496287944905,0.9229774998086969
0.002333422463640258,0.9256575297633629
0.122939705966007,0.9289561479024229
0.4727178666818483,0.9436242568438538
0.42811083011669937,0.9489001583072674
0.05795008127092639,0.952571264740526
0.8376761461919431,0.9535790041873884
0.021885864906194135,0.9697746034536506
0.11709085098629402,0.9744529714609027
0.017356349386031436,0.9796590688536588
1.290883003244027,0.9894816904195601
0.8508953548964903,0.9808109864293763
0.08717776481873726,0.9743135589199997
4.45875757856742,0.9738225543096037
0.2599210781784432,0.9820832863732606
0.552681396802697,0.9812103139303379
3.204135114440068,0.9891060201061277
1.0158638049429376,0.9901669813246028
0.2242256787343444,0.9940889930026614
3.1933576414035474,1.0070552731715516
0.992646771173453,1.0011051723162068
0.8865276293857632,0.9939668278337509
0.016929900267455784,1.0095587156957833
0.5155453943184075,1.0109614602794597
0.14167166567457173,1.0167597550878003
0.5208934096703076,1.0294451272001872
2.5142130190556853e-05,1.02276538767572
